characteristics,trial,arm,mean,sd,type,n
baseline_met_stage_m1d,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0,NA,categorical,563
baseline_met_stage_m01a,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.1669627,NA,categorical,563
baseline_met_stage_m01a1b,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.353463588,NA,categorical,563
baseline_met_stage_m1c1d,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.644760213,NA,categorical,563
ldh_cat_ldh_great_uln,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.344582593,NA,categorical,563
ldh_cat_ldh_lower_equal_uln,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.648312611,NA,categorical,563
ldh_cat2_ldh_great_2xuln,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.113676732,NA,categorical,563
bmhist_history_of_brain_metastases,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,NA,NA,categorical,563
bmhist_no_history_of_brain_metastases,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,NA,NA,categorical,563
n_disease_sites_n_disease_sites_eql_above_3,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.488454707,NA,categorical,563
n_disease_sites_n_disease_sites_below_3,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.509769094,NA,categorical,563
prior_antineoplastic_not_received,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.79,NA,categorical,563
prior_antineoplastic_received,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.21,NA,categorical,563
prior_treatment_anti_ctla4,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,NA,NA,categorical,563
prior_treatment_anti_pd1,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,NA,NA,categorical,563
prior_treatment_combo_anti_ctla4_anti_pd1,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,NA,NA,categorical,563
prior_treatment_combo_braf_mek_nras_inhibitor,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,NA,NA,categorical,563
prior_treatment_interferon,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,NA,NA,categorical,563
prior_treatment_investigational_antineoplastic_agents,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,NA,NA,categorical,563
immunotherapy,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.207815275,NA,categorical,563
ORR_investigator,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.680284192,NA,categorical,563
age_below_55,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.5,NA,categorical,563
metsite_non_visceral,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.21,NA,categorical,563
metsite_visceral,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.79,NA,categorical,563
metsite_visceral_disease_status_not_report,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0,NA,categorical,563
AE_any,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.980322004,NA,categorical,559
AE_g3,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.592128801,NA,categorical,559
AE_disc,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.177101968,NA,categorical,559
ae_rash,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.282647585,NA,categorical,559
ae_diarrhoea,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.355992844,NA,categorical,559
ae_fatigue,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.354203936,NA,categorical,559
ae_arthralgia,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.288014311,NA,categorical,559
TRAE_any,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.980322004,NA,categorical,559
TRAE_g3,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.592128801,NA,categorical,559
TRAE_disc,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.177101968,NA,categorical,559
TRAE_rash,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.282647585,NA,categorical,559
TRAE_diarrhoea,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.355992844,NA,categorical,559
TRAE_fatigue,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.354203936,NA,categorical,559
TRAE_arthralgia,COMBI-d+v (Robert et al. 2019),Dabrafenib + trametinib,0.288014311,NA,categorical,559
