characteristics,trial,arm,mean,sd,type,n
n_disease_sites_n_disease_sites_eql_above_3,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,NA,NA,categorical,192
n_disease_sites_n_disease_sites_below_3,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,NA,NA,categorical,192
n_organs_0,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0,NA,categorical,192
n_organs_1,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.244791667,NA,categorical,192
n_organs_2,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.302083333,NA,categorical,192
n_organs_equal_above_3,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.453125,NA,categorical,192
prior_antineoplastic_not_received,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,NA,NA,categorical,192
prior_antineoplastic_received,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,NA,NA,categorical,192
prior_treatment_anti_ctla4,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,NA,NA,categorical,192
prior_treatment_anti_pd1,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,NA,NA,categorical,192
prior_treatment_combo_anti_ctla4_anti_pd1,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,NA,NA,categorical,192
prior_treatment_combo_braf_mek_nras_inhibitor,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,NA,NA,categorical,192
prior_treatment_interferon,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.265625,NA,categorical,192
prior_treatment_investigational_antineoplastic_agents,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,NA,NA,categorical,192
immunotherapy,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.296875,NA,categorical,192
ORR_bicr,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.635416667,NA,categorical,192
ORR_investigator,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.755208333,NA,categorical,192
age_below_57,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.5,NA,categorical,192
metsite_non_visceral,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,NA,NA,categorical,192
metsite_visceral,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,NA,NA,categorical,192
metsite_visceral_disease_status_not_report,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,NA,NA,categorical,192
AE_any,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.984375,NA,categorical,192
AE_g3,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.682291667,NA,categorical,192
AE_disc,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.104166667,NA,categorical,192
ae_rash,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.161458333,NA,categorical,192
ae_diarrhoea,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.385416667,NA,categorical,192
ae_fatigue,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.296875,NA,categorical,192
ae_arthralgia,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.286458333,NA,categorical,192
ae_pruritus,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.125,NA,categorical,192
TRAE_any,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.984375,NA,categorical,192
TRAE_g3,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.682291667,NA,categorical,192
TRAE_disc,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.104166667,NA,categorical,192
TRAE_rash,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.161458333,NA,categorical,192
TRAE_diarrhoea,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.385416667,NA,categorical,192
TRAE_fatigue,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.296875,NA,categorical,192
TRAE_arthralgia,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.286458333,NA,categorical,192
TRAE_pruritus,COLUMBUS (Dummer et al. 2022),Encorafenib + binimetinib,0.125,NA,categorical,192
